iter	Passed	Remaining
0	133	132933
1	133	66836
2	134	44804
3	135	33809
4	136	27212
5	137	22789
6	138	19646
7	139	17275
8	140	15427
9	140	13932
10	141	12729
11	142	11721
12	143	10861
13	143	10125
14	144	9493
15	145	8928
16	145	8427
17	146	7989
18	147	7597
19	147	7240
20	148	6916
21	149	6627
22	149	6359
23	150	6113
24	150	5887
25	151	5680
26	152	5486
27	152	5308
28	153	5138
29	154	4979
30	154	4836
31	155	4700
32	156	4572
33	156	4452
34	157	4336
35	157	4225
36	158	4121
37	158	4021
38	159	3925
39	159	3836
40	160	3751
41	160	3671
42	161	3596
43	162	3522
44	162	3449
45	163	3381
46	163	3316
47	164	3255
48	164	3195
49	165	3140
50	165	3084
51	166	3032
52	166	2983
53	167	2933
54	167	2885
55	168	2839
56	168	2793
57	169	2751
58	169	2711
59	170	2670
60	170	2631
61	171	2594
62	171	2557
63	172	2523
64	173	2490
65	173	2457
66	174	2425
67	174	2390
68	174	2359
69	175	2335
70	176	2307
71	176	2279
72	177	2252
73	178	2228
74	178	2203
75	179	2178
76	179	2153
77	180	2129
78	180	2106
79	181	2083
80	181	2061
81	182	2039
82	182	2018
83	183	1997
84	183	1976
85	184	1956
86	184	1935
87	184	1917
88	185	1899
89	186	1881
90	186	1863
91	187	1845
92	187	1828
93	187	1811
94	188	1795
95	188	1779
96	189	1763
97	189	1748
98	190	1733
99	191	1719
100	191	1705
101	191	1689
102	192	1674
103	192	1661
104	193	1647
105	193	1634
106	194	1621
107	194	1609
108	195	1596
109	195	1584
110	196	1572
111	196	1561
112	197	1549
113	197	1538
114	198	1526
115	198	1514
116	199	1504
117	199	1493
118	200	1481
119	200	1471
120	201	1461
121	201	1451
122	201	1439
123	202	1430
124	202	1420
125	203	1411
126	203	1401
127	204	1391
128	204	1382
129	205	1374
130	205	1365
131	206	1357
132	206	1348
133	207	1340
134	207	1332
135	208	1324
136	208	1316
137	209	1307
138	209	1300
139	210	1292
140	210	1284
141	211	1277
142	211	1269
143	212	1262
144	212	1255
145	213	1248
146	213	1241
147	214	1234
148	214	1227
149	215	1221
150	216	1215
151	216	1209
152	217	1202
153	217	1196
154	218	1190
155	218	1183
156	219	1177
157	219	1171
158	220	1165
159	220	1159
160	221	1153
161	221	1148
162	222	1142
163	223	1136
164	223	1131
165	224	1125
166	224	1120
167	225	1114
168	225	1109
169	226	1104
170	226	1098
171	227	1093
172	227	1088
173	228	1083
174	228	1078
175	229	1073
176	229	1067
177	230	1063
178	230	1058
179	231	1053
180	231	1047
181	232	1043
182	232	1038
183	233	1033
184	233	1028
185	234	1024
186	234	1019
187	235	1015
188	235	1010
189	236	1006
190	236	1002
191	237	997
192	237	993
193	238	989
194	238	985
195	239	981
196	239	976
197	240	973
198	240	969
199	241	964
200	241	960
201	242	956
202	242	953
203	243	949
204	243	945
205	244	941
206	244	937
207	245	933
208	245	930
209	246	926
210	246	922
211	247	919
212	247	915
213	248	912
214	249	909
215	249	905
216	250	902
217	250	898
218	251	895
219	251	891
220	252	888
221	252	885
222	253	881
